,judul,link
60,Jokowi: Negara Berkembang dan Kepulauan Memiliki Hak Menjadi Maju,https://nasional.kompas.com/read/2023/10/11/13450341/jokowi-negara-berkembang-dan-kepulauan-memiliki-hak-menjadi-maju
61,Lirik dan Chord Lagu Pretty Girls - Renee Rapp,https://www.kompas.com/hype/read/2023/10/11/134500266/lirik-dan-chord-lagu-pretty-girls-renee-rapp
62,Menparekraf: KTT AIS Forum Berdampak Positif pada Pariwisata Bali ,https://travel.kompas.com/read/2023/10/11/134311927/menparekraf-ktt-ais-forum-berdampak-positif-pada-pariwisata-bali
63,"MenKop Teten: Elektronik, Tekstil, Sepatu, Mungkin Masuk Daftar Barang Boleh Diimpor",https://money.kompas.com/read/2023/10/11/134204826/menkop-teten-elektronik-tekstil-sepatu-mungkin-masuk-daftar-barang-boleh
64,"Catat, Ini Syarat Motor Biar Lulus Uji Emisi",https://otomotif.kompas.com/read/2023/10/11/134100715/catat-ini-syarat-motor-biar-lulus-uji-emisi
65,Lemhannas Cermati Potensi Munculnya Aksi Teror Baru Dampak Konflik Hamas-Israel,https://nasional.kompas.com/read/2023/10/11/13402031/lemhannas-cermati-potensi-munculnya-aksi-teror-baru-dampak-konflik-hamas
66,Lirik dan Chord Lagu The Wedding Song - Renee Rapp,https://www.kompas.com/hype/read/2023/10/11/134000966/lirik-dan-chord-lagu-the-wedding-song-renee-rapp
67,Menkominfo Desak Induk Facebook Hapus Konten Judi Online dalam 1x24 Jam,https://tekno.kompas.com/read/2023/10/11/13400087/menkominfo-desak-induk-facebook-hapus-konten-judi-online-dalam-1x24-jam
68,Sri Mulyani: Komitmen Indonesia Menjadi Anggota OECD Sangatlah Bulat,https://money.kompas.com/read/2023/10/11/134000226/sri-mulyani--komitmen-indonesia-menjadi-anggota-oecd-sangatlah-bulat
69,Rendy Pandugo Lanjutkan Eksplorasi Lirik Berbahasa Indonesia di “Biarku Merindu”,https://www.kompas.com/hype/read/2023/10/11/133925566/rendy-pandugo-lanjutkan-eksplorasi-lirik-berbahasa-indonesia-di-biarku
70,"7 Beasiswa ke Luar Negeri dengan Syarat IPK Kurang dari 3,00",https://www.kompas.com/edu/read/2023/10/11/133854471/7-beasiswa-ke-luar-negeri-dengan-syarat-ipk-kurang-dari-300
71,"Fakta Menarik Drama Terbaru Ji Chang Wook, “The Worst of Evil”",https://www.kompas.com/tren/read/2023/10/11/133638265/fakta-menarik-drama-terbaru-ji-chang-wook-the-worst-of-evil
72,Lirik dan Chord Lagu Poison Poison - Renee Rapp,https://www.kompas.com/hype/read/2023/10/11/133509666/lirik-dan-chord-lagu-poison-poison-renee-rapp
73,"Hakim Singgung Misteri Pengembalian Rp 27 Miliar, Menpora Dito: Saya Tak Tahu",https://nasional.kompas.com/read/2023/10/11/13342891/hakim-singgung-misteri-pengembalian-rp-27-miliar-menpora-dito-saya-tak-tahu
74,"10 Makanan yang Baik Dikonsumsi Saat Cuaca Panas, Bukan Cuma Jeruk",https://www.kompas.com/food/read/2023/10/11/133300175/10-makanan-yang-baik-dikonsumsi-saat-cuaca-panas-bukan-cuma-jeruk
